,da_number,wb_area_sum_2500m,wb_gnis_name_ind_count_2500m,wb_ftype_artificialpath_2500m,wb_ftype_canalditch_2500m,wb_ftype_coastline_2500m,wb_ftype_connector_2500m,wb_ftype_pipeline_2500m,wb_ftype_streamriver_2500m,fl_areasqkm_sum_2500m,fl_gnis_name_ind_count_2500m,fl_totdasqkm_sum_2500m,fl_flow_type_count_2500m,fl_streamorde_sum_2500m,fl_intephem_sum_2500m,fl_startflag_sum_2500m,fl_divergence_sum_2500m,fl_length_sum_2500m,fl_ftype_artificialpath_2500m,fl_ftype_canalditch_2500m,fl_ftype_coastline_2500m,fl_ftype_connector_2500m,fl_ftype_pipeline_2500m,fl_ftype_streamriver_2500m,wb_area_sum_200m,wb_gnis_name_ind_count_200m,wb_ftype_artificialpath_200m,wb_ftype_canalditch_200m,wb_ftype_coastline_200m,wb_ftype_connector_200m,wb_ftype_pipeline_200m,wb_ftype_streamriver_200m,fl_areasqkm_sum_200m,fl_gnis_name_ind_count_200m,fl_totdasqkm_sum_200m,fl_flow_type_count_200m,fl_streamorde_sum_200m,fl_intephem_sum_200m,fl_startflag_sum_200m,fl_divergence_sum_200m,fl_length_sum_200m,fl_ftype_artificialpath_200m,fl_ftype_canalditch_200m,fl_ftype_coastline_200m,fl_ftype_connector_200m,fl_ftype_pipeline_200m,fl_ftype_streamriver_200m
72,LRB-2014-01383,0.0,0,0,0,0,0,0,0,21.0879,4,56.3409,4,5,0,1,0,0.0,0,0,0,0,0,4,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
73,LRB-2015-00037,0.0,0,0,0,0,0,0,0,13.0959,7,46797.453,7,24,0,1,0,0.0,6,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
74,LRB-2015-00348,0.0,0,0,0,0,0,0,0,14.8869,4,20.7531,4,5,2,3,0,0.0,0,0,0,0,0,4,0.0,0,0,0,0,0,0,0,2.3904,1,2.3904,1,1,0,1,0,0.0,0,0,0,0,0,1
75,LRB-2015-00439,0.0,0,0,0,0,0,0,0,23.9598,2,23.9598,2,2,0,2,0,0.0,0,0,0,0,0,2,0.0,0,0,0,0,0,0,0,17.7156,1,17.7156,1,1,0,1,0,0.0,0,0,0,0,0,1
76,LRB-2015-00446,0.0,0,0,0,0,0,0,0,9.5499,9,540.3303,9,12,5,1,0,0.0,0,1,0,0,0,8,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
77,LRB-2015-00455,0.0,0,0,0,0,0,0,0,11.4516,2,28.6893,2,5,0,0,0,0.0,0,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
78,LRB-2015-00476,0.0,0,0,0,0,0,0,0,21.0051,9,70.5753,9,15,0,3,0,0.0,0,0,0,0,0,9,0.0,0,0,0,0,0,0,0,1.3698,2,15.6195,2,4,0,0,0,0.0,0,0,0,0,0,2
79,LRB-2015-00485,0.0,0,0,0,0,0,0,0,12.2526,2,12.2526,2,2,2,2,0,0.0,0,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
80,LRB-2015-00515,0.128,0,0,0,0,0,0,1,8.8956,2,17.6643,2,2,2,0,0,,0,0,0,0,0,2,0.128,0,0,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0
81,LRB-2015-00588,0.0,0,0,0,0,0,0,0,15.9012,4,57.393,4,7,0,1,0,0.0,0,0,0,0,0,4,0.0,0,0,0,0,0,0,0,3.3255,1,3.3255,1,1,0,1,0,0.0,0,0,0,0,0,1
82,LRB-2015-00609,45.649,1,0,1,0,0,0,0,26.5833,11,1525.7988,11,19,0,3,0,,8,0,0,0,0,3,45.649,1,0,1,0,0,0,0,2.6874,2,4.5135,2,2,0,1,0,,1,0,0,0,0,1
83,LRB-2015-00637,0.07,0,0,1,0,0,0,0,18.7596,2,16468.8138,2,9,0,0,0,,1,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
84,LRB-2015-00671,0.0,0,0,0,0,0,0,0,6.831,3,6.831,3,1,3,1,0,0.0,0,0,0,0,0,3,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
85,LRB-2015-00678,0.0,0,0,0,0,0,0,0,12.0312,3,17.2782,3,2,0,1,0,0.0,0,0,0,0,0,3,0.0,0,0,0,0,0,0,0,11.1357,1,16.3827,1,1,0,0,0,0.0,0,0,0,0,0,1
86,LRB-2015-00703,0.0,0,0,0,0,0,0,0,12.1779,6,14.0895,6,6,5,5,0,0.0,0,0,0,0,0,6,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
